日付,時刻,猫,種類,量,メモ
2025/11/26,09:30,ラッキー,尿,普通,病院後
2025/11/26,11:00,ラッキー,尿,普通,
2025/11/26,11:30,ラッキー,尿,普通,
2025/11/26,12:30,ラッキー,尿,普通,
2025/11/26,13:10,ラッキー,尿,普通,
2025/11/26,14:30,ラッキー,尿,普通,
2025/11/26,18:30,ラッキー,尿,普通,
2025/11/26,20:30,ラッキー,尿,普通,
2025/11/26,21:30,ラッキー,尿,普通,
2025/11/26,23:30,ラッキー,尿,普通,
2025/11/27,00:30,ラッキー,尿,普通,
2025/11/27,01:35,ラッキー,尿,普通,
2025/11/27,03:00,ラッキー,尿,少量,
2025/11/27,03:30,ラッキー,尿,少量,
2025/11/27,04:30,ラッキー,尿,少量,
2025/11/27,05:08,ラッキー,便,少量,小粒
2025/11/27,05:19,ラッキー,尿,普通,
2025/11/27,06:46,ラッキー,尿,普通,
2025/11/27,07:50,ラッキー,尿,普通,
2025/11/27,08:45,ラッキー,尿,普通,
2025/11/27,10:00,ラッキー,尿,普通,
2025/11/27,11:50,ラッキー,尿,普通,
2025/11/27,12:25,ラッキー,尿,普通,
2025/11/27,19:05,ラッキー,尿,普通,約6.5時間後
2025/11/27,19:58,ラッキー,便,少量,1つぶ
2025/11/27,20:00,ラッキー,尿,普通,
2025/11/27,22:45,ラッキー,尿,普通,
2025/11/28,00:00,ラッキー,尿,普通,
2025/11/28,02:00,ラッキー,尿,普通,
2025/11/28,03:45,ラッキー,尿,普通,
2025/11/28,05:10,ラッキー,尿,普通,
2025/11/28,05:45,ラッキー,便,多め,立派なうんちどっさり
2025/11/28,06:45,ラッキー,尿,普通,
2025/11/28,11:15,ラッキー,尿,普通,
2025/11/28,13:40,ラッキー,尿,普通,
2025/11/28,16:00,ラッキー,尿,普通,
2025/11/28,17:50,ラッキー,尿,普通,
2025/11/28,19:00,ラッキー,尿,普通,
2025/11/28,20:00,ラッキー,尿,普通,
2025/11/28,21:00,ラッキー,尿,普通,
2025/11/28,22:30,ラッキー,尿,普通,
2025/11/28,23:45,ラッキー,尿,普通,
2025/11/29,00:54,ラッキー,尿,普通,
2025/11/29,02:18,ラッキー,尿,普通,
2025/11/29,03:45,ラッキー,尿,普通,
2025/11/29,04:55,ラッキー,尿,普通,
2025/11/29,06:00,ラッキー,尿,普通,
2025/11/29,07:30,ラッキー,尿,普通,
2025/11/29,08:40,ラッキー,尿,普通,
2025/11/29,11:20,ラッキー,尿,普通,
2025/11/29,11:30,ラッキー,便,普通,
2025/11/29,13:30,ラッキー,尿,普通,
2025/11/29,15:30,ラッキー,尿,普通,
2025/11/29,16:00,ラッキー,尿,普通,徘徊
2025/11/29,18:10,ラッキー,尿,普通,
2025/11/29,19:30,ラッキー,尿,普通,
2025/11/29,20:30,ラッキー,尿,普通,
2025/11/29,22:00,ラッキー,尿,普通,
2025/11/29,23:15,ラッキー,尿,普通,
2025/11/30,00:40,ラッキー,尿,普通,
2025/11/30,02:40,ラッキー,尿,普通,
2025/11/30,04:10,ラッキー,尿,普通,
2025/11/30,05:05,ラッキー,尿,普通,
2025/11/30,06:00,ラッキー,尿,普通,
2025/11/30,06:05,ラッキー,便,普通,
2025/11/30,09:10,ラッキー,尿,普通,
2025/11/30,10:30,ラッキー,尿,普通,
2025/11/30,13:40,ラッキー,尿,普通,
2025/11/30,16:45,ラッキー,尿,普通,
2025/11/30,19:50,ラッキー,尿,普通,
2025/11/30,20:50,ラッキー,尿,普通,
2025/11/30,20:55,ラッキー,便,多め,立派
2025/11/30,22:20,ラッキー,尿,普通,
2025/12/01,02:40,ラッキー,尿,普通,
2025/12/01,04:20,ラッキー,尿,普通,
2025/12/01,06:00,ラッキー,尿,普通,
2025/12/01,08:15,ラッキー,尿,普通,
2025/12/01,12:00,ラッキー,尿,普通,
2025/12/01,14:50,ラッキー,尿,普通,
2025/12/01,18:50,ラッキー,便,普通,
2025/12/01,19:52,ラッキー,尿,普通,
2025/12/01,21:40,ラッキー,尿,普通,
2025/12/01,23:15,ラッキー,尿,普通,
2025/12/02,01:40,ラッキー,尿,普通,
2025/12/02,03:30,ラッキー,尿,普通,
2025/12/02,05:50,ラッキー,尿,普通,
2025/12/02,06:40,ラッキー,尿,普通,
2025/12/02,08:30,ラッキー,尿,普通,
2025/12/02,09:30,ラッキー,便,少量,3つぶ
2025/12/02,11:30,ラッキー,尿,普通,
2025/12/02,13:50,ラッキー,尿,普通,
2025/12/02,17:05,ラッキー,尿,普通,
2025/12/02,20:00,ラッキー,尿,普通,
2025/12/02,21:30,ラッキー,尿,普通,
2025/12/02,21:40,ラッキー,便,少量,1つぶ
2025/12/02,23:10,ラッキー,便,多め,立派
2025/12/02,23:50,ラッキー,尿,普通,
2025/12/03,02:50,ラッキー,尿,普通,
2025/12/03,04:50,ラッキー,尿,普通,
2025/12/03,06:00,ラッキー,便,普通,
2025/12/03,06:10,ラッキー,尿,普通,
2025/12/03,09:30,ラッキー,尿,普通,
2025/12/03,12:20,ラッキー,尿,普通,
2025/12/03,17:50,ラッキー,尿,普通,
2025/12/03,19:45,ラッキー,尿,普通,
2025/12/03,20:20,ラッキー,尿,普通,
2025/12/03,21:20,ラッキー,尿,普通,
2025/12/03,23:20,ラッキー,尿,普通,
2025/12/04,00:40,ラッキー,尿,普通,
2025/12/04,01:40,ラッキー,尿,普通,この時間帯に嘔吐
2025/12/04,03:40,ラッキー,尿,普通,
2025/12/04,03:50,ラッキー,便,普通,
2025/12/04,04:00,ラッキー,尿,数滴,頻回開始
2025/12/04,04:15,ラッキー,尿,数滴,
2025/12/04,04:30,ラッキー,尿,数滴,
2025/12/04,04:45,ラッキー,尿,数滴,
2025/12/04,05:00,ラッキー,尿,数滴,
2025/12/04,05:15,ラッキー,便,普通,
2025/12/04,05:30,ラッキー,尿,数滴,
2025/12/04,05:45,ラッキー,尿,数滴,
2025/12/04,06:00,ラッキー,尿,数滴,
2025/12/04,06:15,ラッキー,尿,数滴,
2025/12/04,06:30,ラッキー,尿,数滴,
2025/12/04,06:45,ラッキー,尿,数滴,トイレの中で休憩
2025/12/04,07:00,ラッキー,尿,数滴,同居猫トイレにも座る
2025/12/04,08:50,ラッキー,尿,普通,
2025/12/04,10:40,ラッキー,尿,普通,
2025/12/04,12:50,ラッキー,尿,普通,
2025/12/04,15:30,ラッキー,尿,普通,
2025/12/04,18:00,ラッキー,尿,普通,
2025/12/04,20:40,ラッキー,尿,普通,
2025/12/04,23:40,ラッキー,尿,普通,
2025/12/05,03:10,ラッキー,尿,普通,
2025/12/05,05:30,ラッキー,尿,普通,
2025/12/05,05:45,ラッキー,便,普通,
2025/12/05,09:50,ラッキー,尿,普通,
2025/12/05,17:00,ラッキー,尿,普通,
2025/12/06,02:30,ラッキー,尿,普通,
2025/12/06,05:50,ラッキー,尿,普通,
2025/12/06,09:30,ラッキー,尿,普通,
2025/12/06,09:35,ラッキー,便,普通,
2025/12/06,14:00,ラッキー,尿,普通,
2025/12/06,17:20,ラッキー,尿,普通,
2025/12/06,20:10,ラッキー,尿,普通,
2025/12/06,22:50,ラッキー,便,少量,2粒
2025/12/07,00:40,ラッキー,尿,普通,
2025/12/07,04:00,ラッキー,尿,普通,検尿
2025/12/07,06:10,ラッキー,尿,普通,
2025/12/07,10:00,ラッキー,尿,普通,
2025/12/07,12:00,ラッキー,尿,普通,
2025/12/07,14:50,ラッキー,尿,普通,
2025/12/07,17:30,ラッキー,尿,普通,
2025/12/07,19:15,ラッキー,便,普通,
2025/12/07,20:00,ラッキー,尿,普通,
2025/12/07,21:15,ラッキー,尿,普通,
2025/12/07,23:00,ラッキー,尿,普通,
2025/12/08,00:00,ラッキー,尿,普通,
2025/12/08,02:20,ラッキー,尿,普通,
2025/12/08,03:40,ラッキー,尿,普通,
2025/12/08,05:20,ラッキー,尿,普通,
2025/12/08,07:00,ラッキー,便,普通,
2025/12/08,08:00,ラッキー,尿,普通,
2025/12/08,09:00,ラッキー,尿,普通,
2025/12/08,11:00,ラッキー,尿,普通,
2025/12/08,15:40,ラッキー,尿,普通,
2025/12/08,19:50,ラッキー,尿,普通,
2025/12/08,21:10,ラッキー,尿,普通,
2025/12/08,22:30,ラッキー,尿,普通,
2025/12/08,23:00,ラッキー,尿,普通,
2025/12/08,23:40,ラッキー,便,普通,
2025/12/08,23:45,ラッキー,尿,普通,
2025/12/09,04:10,ラッキー,尿,普通,
2025/12/09,06:40,ラッキー,便,普通,
2025/12/09,06:45,ラッキー,尿,普通,
2025/12/09,09:30,ラッキー,尿,普通,
2025/12/09,19:30,ラッキー,尿,普通,
2025/12/09,21:10,ラッキー,尿,普通,
2025/12/09,21:20,ラッキー,尿,普通,
2025/12/09,23:20,ラッキー,尿,普通,
2025/12/10,05:00,ラッキー,尿,普通,
2025/12/10,06:05,ラッキー,尿,普通,
2025/12/10,06:10,ラッキー,便,少量,コロコロ
2025/12/10,10:20,ラッキー,尿,普通,
2025/12/10,14:00,ラッキー,尿,普通,
2025/12/10,19:00,ラッキー,尿,普通,
2025/12/10,19:50,ラッキー,尿,普通,
2025/12/10,20:10,ラッキー,便,普通,
2025/12/10,20:45,ラッキー,便,普通,
2025/12/10,22:06,ラッキー,尿,普通,
2025/12/11,00:15,ラッキー,尿,普通,
2025/12/11,02:30,ラッキー,尿,普通,
2025/12/11,03:45,ラッキー,尿,普通,
2025/12/11,04:30,ラッキー,尿,普通,
2025/12/11,05:30,ラッキー,尿,普通,
2025/12/11,06:30,ラッキー,尿,普通,
2025/12/11,07:30,ラッキー,尿,普通,
2025/12/11,08:30,ラッキー,尿,普通,
2025/12/11,09:30,ラッキー,尿,普通,
2025/12/11,10:30,ラッキー,便,普通,
2025/12/11,11:20,ラッキー,尿,普通,
2025/12/11,12:30,ラッキー,尿,普通,
2025/12/11,14:30,ラッキー,尿,普通,
2025/12/11,15:40,ラッキー,尿,普通,
2025/12/11,17:00,ラッキー,尿,普通,
2025/12/11,19:00,ラッキー,尿,普通,
2025/12/11,20:00,ラッキー,尿,普通,
2025/12/11,21:00,ラッキー,尿,普通,
2025/12/11,22:00,ラッキー,便,普通,
2025/12/11,22:05,ラッキー,尿,普通,
2025/12/11,24:00,ラッキー,尿,普通,
2025/12/12,01:30,ラッキー,尿,普通,
2025/12/12,04:00,ラッキー,尿,普通,
2025/12/12,05:30,ラッキー,尿,普通,
2025/12/12,07:00,ラッキー,尿,普通,
2025/12/12,09:40,ラッキー,尿,普通,
2025/12/12,12:10,ラッキー,尿,普通,
2025/12/12,14:00,ラッキー,尿,普通,
2025/12/12,16:00,ラッキー,尿,普通,
2025/12/12,18:30,ラッキー,尿,普通,
2025/12/12,19:30,ラッキー,尿,普通,
2025/12/12,21:10,ラッキー,尿,普通,
2025/12/12,22:05,ラッキー,尿,普通,
2025/12/12,22:20,ラッキー,便,普通,
2025/12/12,23:50,ラッキー,尿,普通,
2025/12/13,01:30,ラッキー,尿,普通,
2025/12/13,03:40,ラッキー,尿,普通,
2025/12/13,04:00,ラッキー,尿,普通,
2025/12/13,05:20,ラッキー,尿,普通,
2025/12/13,06:20,ラッキー,尿,普通,
2025/12/13,08:00,ラッキー,尿,普通,
2025/12/13,10:00,ラッキー,便,普通,
2025/12/13,10:05,ラッキー,尿,普通,
2025/12/13,13:30,ラッキー,尿,普通,
2025/12/13,16:50,ラッキー,尿,普通,
2025/12/13,20:20,ラッキー,尿,普通,
2025/12/13,22:00,ラッキー,便,普通,
2025/12/13,22:10,ラッキー,尿,普通,
2025/12/13,22:30,ラッキー,便,多め,立派
2025/12/13,23:00,ラッキー,尿,普通,
2025/12/13,23:10,ラッキー,尿,普通,
2025/12/14,01:40,ラッキー,尿,普通,
2025/12/14,05:30,ラッキー,尿,普通,
2025/12/14,06:40,ラッキー,尿,普通,
2025/12/14,09:00,ラッキー,尿,普通,
2025/12/14,14:00,ラッキー,尿,普通,
2025/12/14,18:00,ラッキー,尿,普通,
2025/12/14,21:10,ラッキー,尿,普通,
2025/12/14,23:00,ラッキー,尿,普通,
2025/12/15,04:20,ラッキー,尿,普通,
2025/12/15,06:30,ラッキー,尿,普通,
2025/12/15,08:30,ラッキー,尿,普通,
2025/12/15,11:00,ラッキー,尿,普通,
2025/12/15,19:20,ラッキー,尿,普通,
2025/12/15,19:30,ラッキー,便,普通,
2025/12/15,21:20,ラッキー,尿,普通,
2025/12/15,22:15,ラッキー,尿,普通,
2025/12/16,00:00,ラッキー,尿,普通,
2025/12/16,02:00,ラッキー,尿,普通,
2025/12/16,03:50,ラッキー,尿,普通,
2025/12/16,05:50,ラッキー,尿,普通,
2025/12/16,06:30,ラッキー,尿,普通,
2025/12/16,07:00,ラッキー,尿,普通,
2025/12/16,08:30,ラッキー,尿,普通,
2025/12/16,12:15,ラッキー,尿,普通,
2025/12/16,15:30,ラッキー,尿,普通,
2025/12/16,18:45,ラッキー,尿,普通,
2025/12/16,20:00,ラッキー,尿,普通,
2025/12/16,21:00,ラッキー,便,普通,
2025/12/16,22:00,ラッキー,尿,普通,
2025/12/16,23:00,ラッキー,尿,普通,
2025/12/17,02:20,ラッキー,尿,普通,
2025/12/17,03:40,ラッキー,尿,普通,
2025/12/17,06:00,ラッキー,尿,普通,
2025/12/17,07:50,ラッキー,尿,普通,
2025/12/17,10:45,ラッキー,便,少量,ポロ便
2025/12/17,14:00,ラッキー,尿,普通,
2025/12/17,19:00,ラッキー,尿,普通,
2025/12/17,20:20,ラッキー,尿,普通,
2025/12/17,20:40,ラッキー,尿,普通,
2025/12/17,22:30,ラッキー,尿,普通,
2025/12/17,22:30,ラッキー,便,普通,
2025/12/17,23:50,ラッキー,尿,普通,
2025/12/18,03:40,ラッキー,尿,普通,
2025/12/18,04:30,ラッキー,尿,普通,
2025/12/18,05:50,ラッキー,尿,普通,
2025/12/18,09:30,ラッキー,尿,普通,
2025/12/18,12:40,ラッキー,尿,普通,
2025/12/18,16:50,ラッキー,尿,普通,
2025/12/18,20:20,ラッキー,尿,普通,
2025/12/18,21:30,ラッキー,便,少量,ポロ便
2025/12/18,22:10,ラッキー,便,普通,
2025/12/18,22:20,ラッキー,尿,普通,
2025/12/19,00:20,ラッキー,尿,普通,
2025/12/19,03:40,ラッキー,尿,普通,
2025/12/19,05:30,ラッキー,尿,普通,
2025/12/19,07:20,ラッキー,尿,普通,
2025/12/19,10:56,ラッキー,尿,普通,トイレで丸まり約10分
2025/12/19,15:30,ラッキー,尿,普通,
2025/12/19,18:50,ラッキー,尿,普通,
2025/12/19,20:50,ラッキー,尿,普通,
2025/12/19,21:50,ラッキー,尿,普通,
2025/12/19,22:40,ラッキー,尿,普通,
2025/12/20,00:20,ラッキー,尿,普通,
2025/12/20,01:50,ラッキー,尿,普通,
2025/12/20,03:00,ラッキー,尿,普通,
2025/12/20,05:15,ラッキー,尿,普通,
2025/12/20,05:30,ラッキー,尿,普通,
2025/12/20,08:30,ラッキー,尿,普通,
2025/12/20,10:00,ラッキー,便,少量,
2025/12/20,10:10,ラッキー,尿,普通,
2025/12/20,13:20,ラッキー,尿,普通,
2025/12/20,16:30,ラッキー,尿,普通,
2025/12/20,18:30,ラッキー,尿,普通,
2025/12/20,20:30,ラッキー,尿,普通,
2025/12/21,00:50,ラッキー,尿,普通,
2025/12/21,03:00,ラッキー,尿,普通,
2025/12/21,05:30,ラッキー,尿,普通,
2025/12/21,07:50,ラッキー,尿,普通,
2025/12/21,10:00,ラッキー,便,少量,
2025/12/21,10:10,ラッキー,尿,普通,
2025/12/21,16:30,ラッキー,尿,普通,
2025/12/21,20:00,ラッキー,尿,普通,
2025/12/21,22:00,ラッキー,便,少量,
2025/12/21,22:10,ラッキー,尿,普通,
2025/12/21,22:30,ラッキー,尿,普通,
2025/12/21,23:15,ラッキー,便,普通,
2025/12/21,23:50,ラッキー,尿,普通,
2025/12/22,03:30,ラッキー,尿,普通,
2025/12/22,05:20,ラッキー,尿,普通,
2025/12/22,07:30,ラッキー,尿,普通,
2025/12/22,09:30,ラッキー,尿,普通,
2025/12/22,12:30,ラッキー,便,普通,
2025/12/22,12:40,ラッキー,尿,普通,
2025/12/22,15:40,ラッキー,尿,普通,
2025/12/22,17:00,ラッキー,尿,普通,
2025/12/22,20:00,ラッキー,尿,普通,
2025/12/22,21:00,ラッキー,尿,普通,
2025/12/22,22:00,ラッキー,尿,普通,
2025/12/22,22:45,ラッキー,尿,普通,
2025/12/22,23:50,ラッキー,尿,普通,
2025/12/23,01:20,ラッキー,尿,普通,
2025/12/23,03:05,ラッキー,尿,普通,
2025/12/23,03:50,ラッキー,尿,普通,
2025/12/23,05:00,ラッキー,尿,普通,
2025/12/23,06:00,ラッキー,尿,普通,
2025/12/23,08:00,ラッキー,尿,普通,
2025/12/23,09:00,ラッキー,尿,普通,
2025/12/23,11:10,ラッキー,尿,普通,
2025/12/23,11:55,ラッキー,尿,普通,
2025/12/23,13:10,ラッキー,尿,普通,
2025/12/23,16:40,ラッキー,尿,普通,
2025/12/23,17:00,ラッキー,尿,普通,
2025/12/23,20:30,ラッキー,尿,普通,
2025/12/23,22:00,ラッキー,尿,普通,
2025/12/23,23:00,ラッキー,尿,普通,
2025/12/24,00:50,ラッキー,尿,普通,
2025/12/24,01:00,ラッキー,便,少量,やや柔
2025/12/24,03:20,ラッキー,尿,普通,
2025/12/24,05:55,ラッキー,尿,普通,
2025/12/24,07:50,ラッキー,尿,普通,
2025/12/24,10:30,ラッキー,尿,普通,
2025/12/24,17:33,ラッキー,尿,普通,
2025/12/24,19:30,ラッキー,尿,普通,
2025/12/24,20:20,ラッキー,尿,普通,
2025/12/24,21:00,ラッキー,尿,普通,
2025/12/24,22:00,ラッキー,尿,普通,
2025/12/25,00:20,ラッキー,尿,普通,
2025/12/25,02:00,ラッキー,尿,普通,
2025/12/25,03:30,ラッキー,尿,普通,
2025/12/25,04:30,ラッキー,尿,普通,
2025/12/25,05:30,ラッキー,尿,普通,
2025/12/25,07:00,ラッキー,尿,普通,
2025/12/25,09:00,ラッキー,尿,普通,
2025/12/25,10:10,ラッキー,尿,普通,
2025/12/25,12:00,ラッキー,尿,普通,
2025/12/25,15:30,ラッキー,尿,普通,
2025/12/25,17:30,ラッキー,尿,普通,
2025/12/25,20:00,ラッキー,尿,普通,
2025/12/25,22:00,ラッキー,尿,普通,
2025/12/25,22:30,ラッキー,便,普通,やや硬
2025/12/26,00:30,ラッキー,尿,普通,
2025/12/26,03:00,ラッキー,尿,普通,
2025/12/26,05:50,ラッキー,尿,普通,
2025/12/26,07:40,ラッキー,尿,普通,
2025/12/26,10:20,ラッキー,尿,普通,
2025/12/26,13:00,ラッキー,尿,普通,
2025/12/26,17:20,ラッキー,尿,普通,
2025/12/26,20:20,ラッキー,尿,普通,
2025/12/26,22:30,ラッキー,尿,普通,
2025/12/26,23:10,ラッキー,尿,普通,
2025/12/26,23:30,ラッキー,便,普通,やや柔
2025/12/27,00:40,ラッキー,尿,普通,
2025/12/27,01:20,ラッキー,尿,普通,
2025/12/27,02:20,ラッキー,尿,普通,
2025/12/27,05:00,ラッキー,尿,普通,
2025/12/27,06:20,ラッキー,尿,普通,
2025/12/27,07:20,ラッキー,尿,普通,
2025/12/27,09:20,ラッキー,尿,普通,
2025/12/27,11:20,ラッキー,尿,普通,
2025/12/27,13:30,ラッキー,尿,普通,
2025/12/27,16:20,ラッキー,尿,普通,
2025/12/27,19:00,ラッキー,尿,普通,
2025/12/27,21:00,ラッキー,尿,普通,
2025/12/27,23:50,ラッキー,尿,普通,
2025/12/28,00:00,ラッキー,便,普通,
2025/12/28,03:40,ラッキー,尿,普通,
2025/12/28,06:50,ラッキー,尿,普通,
2025/12/28,08:40,ラッキー,尿,普通,
2025/12/28,12:00,ラッキー,尿,普通,
2025/12/28,13:00,ラッキー,尿,普通,
2025/12/28,17:50,ラッキー,尿,普通,
2025/12/28,23:00,ラッキー,尿,普通,
2025/12/29,00:00,ラッキー,尿,普通,
2025/12/29,01:40,ラッキー,尿,普通,
2025/12/29,04:30,ラッキー,便,普通,
2025/12/29,06:30,ラッキー,尿,普通,
2025/12/29,10:40,ラッキー,尿,普通,
2025/12/29,13:30,ラッキー,尿,普通,
2025/12/29,16:30,ラッキー,尿,普通,
2025/12/29,19:00,ラッキー,尿,普通,
2025/12/29,21:15,ラッキー,尿,普通,
2025/12/29,22:10,ラッキー,尿,普通,
2025/12/30,01:00,ラッキー,尿,普通,
2025/12/30,03:40,ラッキー,尿,普通,
2025/12/30,05:50,ラッキー,尿,普通,
2025/12/30,07:00,ラッキー,尿,普通,
2025/12/30,09:00,ラッキー,尿,普通,
2025/12/30,12:00,ラッキー,尿,普通,
2025/12/30,16:45,ラッキー,尿,普通,
2025/12/30,19:30,ラッキー,尿,普通,
2025/12/30,21:30,ラッキー,尿,普通,
2025/12/30,23:40,ラッキー,尿,普通,
2025/12/31,01:00,ラッキー,便,普通,
2025/12/31,04:00,ラッキー,尿,多め,

